Country,Clicks,Impressions,CTR,Position
United States,7,689,1.02%,40.6
Canada,1,15,6.67%,18.13
New Zealand,0,13,0%,45.31
Netherlands,0,11,0%,8.73
United Kingdom,0,10,0%,22.5
India,0,8,0%,25
Germany,0,6,0%,9.67
Brazil,0,5,0%,7.8
Australia,0,5,0%,24
France,0,4,0%,9
Hong Kong,0,4,0%,12.75
Thailand,0,3,0%,17
Argentina,0,3,0%,18.67
Malaysia,0,3,0%,21.33
Mexico,0,3,0%,31
Bulgaria,0,3,0%,33
Greece,0,2,0%,5.5
Switzerland,0,2,0%,7.5
Indonesia,0,2,0%,10
Spain,0,2,0%,12
Vietnam,0,2,0%,12
Taiwan,0,2,0%,12.5
South Korea,0,2,0%,14.5
China,0,2,0%,17.5
Ecuador,0,2,0%,40.5
Kazakhstan,0,1,0%,4
Austria,0,1,0%,6
Trinidad & Tobago,0,1,0%,6
United Arab Emirates,0,1,0%,7
Pakistan,0,1,0%,7
Italy,0,1,0%,8
Bahamas,0,1,0%,9
Iraq,0,1,0%,9
Ukraine,0,1,0%,9
Kenya,0,1,0%,10
Japan,0,1,0%,11
Hungary,0,1,0%,12
Russia,0,1,0%,12
Turkey,0,1,0%,14
Iran,0,1,0%,15
Philippines,0,1,0%,16
Oman,0,1,0%,17
Kuwait,0,1,0%,18
Colombia,0,1,0%,20
Niger,0,1,0%,25
Egypt,0,1,0%,30
Algeria,0,1,0%,32
Georgia,0,1,0%,38
Poland,0,1,0%,41
